INFO:root:Profile data:
         239097 function calls (239078 primitive calls) in 0.738 CPU seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        3    0.000    0.000    0.000    0.000 C:\Python26\ArcGIS10.0\lib\sre_compile.py:213(_optimize_charset)
       20    0.000    0.000    0.000    0.000 C:\Python26\ArcGIS10.0\lib\sre_parse.py:132(__len__)
        3    0.000    0.000    0.000    0.000 C:\Python26\ArcGIS10.0\lib\gettext.py:461(translation)
        3    0.000    0.000    0.000    0.000 C:\Python26\ArcGIS10.0\lib\gettext.py:565(gettext)
       12    0.000    0.000    0.000    0.000 {setattr}
       40    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
        2    0.000    0.000    0.002    0.001 C:\Python26\ArcGIS10.0\lib\sre_compile.py:486(_code)
        3    0.000    0.000    0.000    0.000 C:\Users\schiefej\WorkLinks\Coding Projects\Eclipse\GPCP\src\argparse.py:1443(_get_handler)
        3    0.000    0.000    0.000    0.000 {built-in method group}
        3    0.000    0.000    0.000    0.000 C:\Users\schiefej\WorkLinks\Coding Projects\Eclipse\GPCP\src\argparse.py:2151(_get_nargs_pattern)
        2    0.000    0.000    0.000    0.000 C:\Users\schiefej\WorkLinks\Coding Projects\Eclipse\GPCP\src\argparse.py:1314(add_argument_group)
        1    0.000    0.000    0.738    0.738 <string>:1(<module>)
        4    0.000    0.000    0.000    0.000 C:\Python26\ArcGIS10.0\lib\sre_parse.py:263(_escape)
        9    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
        3    0.000    0.000    0.000    0.000 C:\Python26\ArcGIS10.0\lib\sre_compile.py:360(_simple)
        1    0.000    0.000    0.000    0.000 C:\Python26\ArcGIS10.0\lib\ntpath.py:164(split)
        2    0.000    0.000    0.000    0.000 C:\Users\schiefej\WorkLinks\Coding Projects\Eclipse\GPCP\src\mapping.py:127(delta_to)
        4    0.000    0.000    0.000    0.000 C:\Python26\ArcGIS10.0\lib\sre_compile.py:480(isstring)
        1    0.000    0.000    0.000    0.000 C:\Users\schiefej\WorkLinks\Coding Projects\Eclipse\GPCP\src\argparse.py:1893(consume_positionals)
       20    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
       10    0.000    0.000    0.000    0.000 {method 'lstrip' of 'str' objects}
        2    0.000    0.000    0.000    0.000 C:\Users\schiefej\WorkLinks\Coding Projects\Eclipse\GPCP\src\argparse.py:888(__init__)
        6    0.000    0.000    0.000    0.000 C:\Users\schiefej\WorkLinks\Coding Projects\Eclipse\GPCP\src\argparse.py:2050(_parse_optional)
        3    0.000    0.000    0.000    0.000 C:\Python26\ArcGIS10.0\lib\re.py:134(match)
        1    0.000    0.000    0.000    0.000 C:\Python26\ArcGIS10.0\lib\sre_parse.py:89(closegroup)
        8    0.000    0.000    0.000    0.000 C:\Python26\ArcGIS10.0\lib\sre_parse.py:96(__init__)
        2    0.000    0.000    0.000    0.000 {_sre.compile}
        2    0.000    0.000    0.000    0.000 C:\Python26\ArcGIS10.0\lib\sre_parse.py:184(__init__)
       10    0.000    0.000    0.000    0.000 C:\Python26\ArcGIS10.0\lib\sre_parse.py:201(match)
        2    0.000    0.000    0.000    0.000 C:\Users\schiefej\WorkLinks\Coding Projects\Eclipse\GPCP\src\gpcp_parsers.py:103(has_data)
        3    0.000    0.000    0.000    0.000 C:\Users\schiefej\WorkLinks\Coding Projects\Eclipse\GPCP\src\argparse.py:859(__call__)
        5    0.000    0.000    0.000    0.000 {max}
        2    0.000    0.000    0.000    0.000 C:\Users\schiefej\WorkLinks\Coding Projects\Eclipse\GPCP\src\argparse.py:865(__init__)
        1    0.000    0.000    0.000    0.000 C:\Users\schiefej\WorkLinks\Coding Projects\Eclipse\GPCP\src\argparse.py:1175(__init__)
        3    0.000    0.000    0.002    0.001 C:\Python26\ArcGIS10.0\lib\re.py:188(compile)
        1    0.000    0.000    0.000    0.000 C:\Users\schiefej\WorkLinks\Coding Projects\Eclipse\GPCP\src\argparse.py:1006(__init__)
        4    0.000    0.000    0.000    0.000 C:\Python26\ArcGIS10.0\lib\sre_parse.py:134(__delitem__)
        3    0.000    0.000    0.000    0.000 {getattr}
        3    0.000    0.000    0.000    0.000 C:\Python26\ArcGIS10.0\lib\sre_parse.py:140(__setitem__)
        2    0.000    0.000    0.000    0.000 C:\Python26\ArcGIS10.0\lib\sre_parse.py:73(__init__)
        1    0.000    0.000    0.000    0.000 C:\Users\schiefej\WorkLinks\Coding Projects\Eclipse\GPCP\src\argparse.py:1698(_get_positional_actions)
       10    0.000    0.000    0.000    0.000 C:\Users\schiefej\WorkLinks\Coding Projects\Eclipse\GPCP\src\argparse.py:1605(identity)
        1    0.000    0.000    0.000    0.000 C:\Users\schiefej\WorkLinks\Coding Projects\Eclipse\GPCP\src\argparse.py:1706(parse_args)
        4    0.000    0.000    0.000    0.000 {abs}
        3    0.000    0.000    0.000    0.000 {method 'reverse' of 'list' objects}
        3    0.000    0.000    0.000    0.000 C:\Users\schiefej\WorkLinks\Coding Projects\Eclipse\GPCP\src\argparse.py:2269(_check_value)
        4    0.000    0.000    0.000    0.000 {ord}
        1    0.000    0.000    0.000    0.000 C:\Users\schiefej\WorkLinks\Coding Projects\Eclipse\GPCP\src\argparse.py:2034(_match_arguments_partial)
